Frame,Ch3_max_amp[mV],Ch3_10%_amp_time[ns],Ch3_time_over_50%_amp[ns],Ch3_integral[V*s],Ch4_max_amp[mV],Ch4_10%_amp_time[ns],Ch4_time_over_50%_amp[ns],Ch4_integral[V*s]
1,38.93750000000047,40.492095238095246,92.57434631605055,4.700376867187493e-09,21.248437499999895,41.68104306220096,76.61869406695368,2.7480880312500125e-09
2,60.558593749998124,49.19613483146067,86.35017931338484,7.04144307031253e-09,62.57578124999981,49.01487262872628,93.90520086107033,7.870970609375006e-09
3,20.411718749999785,41.28848382126348,72.20420415400216,2.1243579375000085e-09,20.821093749999875,42.26124745762712,0.6805714494341103,2.8153180312500236e-09
4,38.484374999999815,40.55212280701755,89.49420671452236,4.472584664062518e-09,20.10625000000008,40.80889900426745,80.23039348370912,2.5373430156249835e-09
5,58.73359375000078,47.04041011235956,92.11530349230888,6.9921236953125325e-09,40.871874999999136,47.55915853658536,89.65419531953185,5.057769453124981e-09
6,62.316406250000256,37.738564516129046,88.03781490929704,7.243595171874987e-09,20.649999999999835,38.43754559505409,79.70216085908388,2.638507046875015e-09
7,18.246875000000173,36.06591304347826,0.44071261493063135,2.1699767265625154e-09,22.439843749999966,35.58557042253521,81.4341853354978,2.917288179687497e-09
8,48.473437500000216,46.829417721519,90.57463976945276,5.73568932031249e-09,38.07187499999998,48.03154434782609,83.72492780594825,4.714938203125022e-09
9,25.975000000000037,44.32874418604651,83.47857600523032,3.026163492187505e-09,37.171093749999784,45.21334297520661,84.90294774980312,4.66581015625e-09
10,23.77812499999994,44.37039306358381,82.02484422155966,2.6443503281250164e-09,49.850000000000705,45.07286390532545,85.24113415630376,6.112546531250017e-09
11,27.17890624999999,45.300417040358745,84.59687213767593,3.0544874296875067e-09,35.22734375000027,45.1893503649635,92.34047708748264,4.458118679687507e-09
12,60.70937499999971,43.990869358669826,86.07822839180282,6.884830890625054e-09,21.724218749999835,44.564802168021686,80.54234788189986,2.8524239843750008e-09
13,37.433593749999616,43.12884549356223,78.58382136292762,4.0027703437499944e-09,24.31093750000013,43.652908108108115,73.43329340304294,2.9176479140625e-09
14,52.06093749999994,43.034132132132136,89.84306506269115,6.148364531249997e-09,24.95468749999965,44.098631901840484,78.14252943425072,3.179842984374974e-09
15,18.984374999999964,28.800485714285713,1.2686187263402156,2.1342487265625117e-09,29.502343749999937,28.14577827050998,83.74886864012578,3.785384960937484e-09
16,24.257812500000142,43.915914438502675,0.8421335350860533,2.9246259531249833e-09,30.539062499999936,43.64192452830189,81.41731098154781,3.986215445312503e-09
17,15.874218750000148,32.082854771784234,1.4241472661119943,1.7489198984374837e-09,46.04375000000012,32.22944720496895,91.24329661672692,5.7841640312499985e-09
18,18.770312499999875,28.43549554896149,64.32841846925504,1.8777863124999978e-09,22.03359374999998,29.26963380281691,82.11045550917636,2.8554628671875265e-09
