 //************************************************
//Board:5202
//File_Format_Version:3.3
//Janus_Release 4.2.0
//Acquisition_Mode:Spectroscopy
//Energy_Histo_NBins:8192
//Run#:19
//Start_Time_Epoch:1760354946190
//Start_Time_DateTime:Mon Oct 13 13:29:06 2025
//************************************************
TStamp,Trg_Id,Board_Id,Num_hits,ChannelMask,CH_Id,Data_type,PHA_LG,PHA_HG
334681698.168,23,0,4,0x74000,14,0x1,2089,-1
334681698.168,23,0,4,0x74000,16,0x1,2421,-1
334681698.168,23,0,4,0x74000,17,0x1,4537,-1
334681698.168,23,0,4,0x74000,18,0x1,1221,-1
379629742.712,24,0,4,0xf000,12,0x1,2100,-1
379629742.712,24,0,4,0xf000,13,0x1,2480,-1
379629742.712,24,0,4,0xf000,14,0x1,2287,-1
379629742.712,24,0,4,0xf000,15,0x1,1990,-1
416247742.328,25,0,5,0x70a00,9,0x1,293,-1
416247742.328,25,0,5,0x70a00,11,0x1,3246,-1
416247742.328,25,0,5,0x70a00,16,0x1,1464,-1
416247742.328,25,0,5,0x70a00,17,0x1,7594,-1
416247742.328,25,0,5,0x70a00,18,0x1,3612,-1
425759706.808,26,0,10,0xffc0,6,0x1,1735,-1
425759706.808,26,0,10,0xffc0,7,0x1,8124,-1
425759706.808,26,0,10,0xffc0,8,0x1,5632,-1
425759706.808,26,0,10,0xffc0,9,0x1,4747,-1
425759706.808,26,0,10,0xffc0,10,0x1,6161,-1
425759706.808,26,0,10,0xffc0,11,0x1,4845,-1
425759706.808,26,0,10,0xffc0,12,0x1,4331,-1
425759706.808,26,0,10,0xffc0,13,0x1,4221,-1
425759706.808,26,0,10,0xffc0,14,0x1,4858,-1
425759706.808,26,0,10,0xffc0,15,0x1,3533,-1
457298860.968,27,0,4,0x70400,10,0x1,2024,-1
457298860.968,27,0,4,0x70400,16,0x1,1784,-1
457298860.968,27,0,4,0x70400,17,0x1,3790,-1
457298860.968,27,0,4,0x70400,18,0x1,2087,-1
486773909.408,28,0,5,0x600d0,4,0x1,1257,-1
486773909.408,28,0,5,0x600d0,6,0x1,457,-1
486773909.408,28,0,5,0x600d0,7,0x1,2888,-1
486773909.408,28,0,5,0x600d0,17,0x1,2611,-1
486773909.408,28,0,5,0x600d0,18,0x1,3934,-1
509063298.856,29,0,4,0x70800,11,0x1,2632,-1
509063298.856,29,0,4,0x70800,16,0x1,1908,-1
509063298.856,29,0,4,0x70800,17,0x1,7725,-1
509063298.856,29,0,4,0x70800,18,0x1,2999,-1
550969520.600,30,0,4,0x71000,12,0x1,2074,-1
550969520.600,30,0,4,0x71000,16,0x1,1126,-1
550969520.600,30,0,4,0x71000,17,0x1,3931,-1
550969520.600,30,0,4,0x71000,18,0x1,2028,-1
554084954.448,31,0,4,0x72000,13,0x1,2384,-1
554084954.448,31,0,4,0x72000,16,0x1,2610,-1
554084954.448,31,0,4,0x72000,17,0x1,8191,-1
554084954.448,31,0,4,0x72000,18,0x1,2622,-1
561294523.048,32,0,4,0x70400,10,0x1,1275,-1
561294523.048,32,0,4,0x70400,16,0x1,1913,-1
561294523.048,32,0,4,0x70400,17,0x1,4784,-1
561294523.048,32,0,4,0x70400,18,0x1,2604,-1
605220658.184,33,0,4,0x33,0,0x1,4917,-1
605220658.184,33,0,4,0x33,1,0x1,2206,-1
605220658.184,33,0,4,0x33,4,0x1,1998,-1
605220658.184,33,0,4,0x33,5,0x1,3265,-1
668044628.808,34,0,5,0x1f,0,0x1,1973,-1
668044628.808,34,0,5,0x1f,1,0x1,2789,-1
668044628.808,34,0,5,0x1f,2,0x1,2552,-1
668044628.808,34,0,5,0x1f,3,0x1,3614,-1
668044628.808,34,0,5,0x1f,4,0x1,347,-1
